"No.","Time","Source","Source Port","Source Port","Destination","Destination Port","Destination Port","Protocol","Length","Flags","Sequence Number","Acknowledgment Number","Window","Type","Time to Live","Total Length","Code","Length","Info"
"121","2.293820","10.40.219.42","42582","","10.40.201.225","9415","","TCP","54","0x001","1","0","1024","","39","40","","","42582  >  9415 [FIN] Seq=1 Win=1024 Len=0"
"122","2.293870","10.40.219.42","42582","","10.40.201.225","19780","","TCP","54","0x001","1","0","1024","","51","40","","","42582  >  19780 [FIN] Seq=1 Win=1024 Len=0"
"123","2.293896","10.40.219.42","42582","","10.40.201.225","1533","","TCP","54","0x001","1","0","1024","","54","40","","","42582  >  1533 [FIN] Seq=1 Win=1024 Len=0"
"124","2.293911","10.40.219.42","42582","","10.40.201.225","49165","","TCP","54","0x001","1","0","1024","","43","40","","","42582  >  49165 [FIN] Seq=1 Win=1024 Len=0"
"125","2.293940","10.40.219.42","42582","","10.40.201.225","1935","","TCP","54","0x001","1","0","1024","","51","40","","","42582  >  1935 [FIN] Seq=1 Win=1024 Len=0"
"126","2.293956","10.40.219.42","42582","","10.40.201.225","60020","","TCP","54","0x001","1","0","1024","","43","40","","","42582  >  60020 [FIN] Seq=1 Win=1024 Len=0"
"127","2.293982","10.40.219.42","42582","","10.40.201.225","1094","","TCP","54","0x001","1","0","1024","","55","40","","","42582  >  1094 [FIN] Seq=1 Win=1024 Len=0"
"128","2.404495","10.40.219.42","42581","","10.40.201.225","1066","","TCP","54","0x001","1","0","1024","","48","40","","","42581  >  1066 [FIN] Seq=1 Win=1024 Len=0"
"129","2.404561","10.40.219.42","42581","","10.40.201.225","10001","","TCP","54","0x001","1","0","1024","","55","40","","","42581  >  10001 [FIN] Seq=1 Win=1024 Len=0"
"130","2.404561","10.40.219.42","42581","","10.40.201.225","2008","","TCP","54","0x001","1","0","1024","","51","40","","","42581  >  2008 [FIN] Seq=1 Win=1024 Len=0"
"131","2.404561","10.40.219.42","42581","","10.40.201.225","32776","","TCP","54","0x001","1","0","1024","","54","40","","","42581  >  32776 [FIN] Seq=1 Win=1024 Len=0"
"132","2.404582","10.40.219.42","42581","","10.40.201.225","20031","","TCP","54","0x001","1","0","1024","","39","40","","","42581  >  20031 [FIN] Seq=1 Win=1024 Len=0"
"133","2.404582","10.40.219.42","42581","","10.40.201.225","119","","TCP","54","0x001","1","0","1024","","56","40","","","42581  >  119 [FIN] Seq=1 Win=1024 Len=0"
"134","2.404591","10.40.219.42","42581","","10.40.201.225","1166","","TCP","54","0x001","1","0","1024","","37","40","","","42581  >  1166 [FIN] Seq=1 Win=1024 Len=0"
"135","2.404617","10.40.219.42","42581","","10.40.201.225","125","","TCP","54","0x001","1","0","1024","","50","40","","","42581  >  125 [FIN] Seq=1 Win=1024 Len=0"
"136","2.404648","10.40.219.42","42581","","10.40.201.225","21571","","TCP","54","0x001","1","0","1024","","44","40","","","42581  >  21571 [FIN] Seq=1 Win=1024 Len=0"
"137","2.404657","10.40.219.42","42581","","10.40.201.225","50800","","TCP","54","0x001","1","0","1024","","54","40","","","42581  >  50800 [FIN] Seq=1 Win=1024 Len=0"
"138","2.513137","10.40.219.42","42582","","10.40.201.225","50800","","TCP","54","0x001","1","0","1024","","42","40","","","42582  >  50800 [FIN] Seq=1 Win=1024 Len=0"
"139","2.513138","10.40.219.42","42582","","10.40.201.225","21571","","TCP","54","0x001","1","0","1024","","47","40","","","42582  >  21571 [FIN] Seq=1 Win=1024 Len=0"
"140","2.513138","10.40.219.42","42582","","10.40.201.225","125","","TCP","54","0x001","1","0","1024","","41","40","","","42582  >  125 [FIN] Seq=1 Win=1024 Len=0"
"141","2.513857","10.40.219.42","42582","","10.40.201.225","1166","","TCP","54","0x001","1","0","1024","","40","40","","","42582  >  1166 [FIN] Seq=1 Win=1024 Len=0"
"142","2.513857","10.40.219.42","42582","","10.40.201.225","119","","TCP","54","0x001","1","0","1024","","55","40","","","42582  >  119 [FIN] Seq=1 Win=1024 Len=0"
"143","2.513858","10.40.219.42","42582","","10.40.201.225","20031","","TCP","54","0x001","1","0","1024","","54","40","","","42582  >  20031 [FIN] Seq=1 Win=1024 Len=0"
"144","2.513858","10.40.219.42","42582","","10.40.201.225","32776","","TCP","54","0x001","1","0","1024","","56","40","","","42582  >  32776 [FIN] Seq=1 Win=1024 Len=0"
"145","2.513858","10.40.219.42","42582","","10.40.201.225","2008","","TCP","54","0x001","1","0","1024","","52","40","","","42582  >  2008 [FIN] Seq=1 Win=1024 Len=0"
"146","2.513859","10.40.219.42","42582","","10.40.201.225","10001","","TCP","54","0x001","1","0","1024","","38","40","","","42582  >  10001 [FIN] Seq=1 Win=1024 Len=0"
"147","2.513859","10.40.219.42","42582","","10.40.201.225","1066","","TCP","54","0x001","1","0","1024","","37","40","","","42582  >  1066 [FIN] Seq=1 Win=1024 Len=0"
"148","2.623900","10.40.219.42","42581","","10.40.201.225","2040","","TCP","54","0x001","1","0","1024","","47","40","","","42581  >  2040 [FIN] Seq=1 Win=1024 Len=0"
"149","2.623987","10.40.219.42","42581","","10.40.201.225","43","","TCP","54","0x001","1","0","1024","","48","40","","","42581  >  43 [FIN] Seq=1 Win=1024 Len=0"
"150","2.624022","10.40.219.42","42581","","10.40.201.225","306","","TCP","54","0x001","1","0","1024","","43","40","","","42581  >  306 [FIN] Seq=1 Win=1024 Len=0"
"151","2.624052","10.40.219.42","42581","","10.40.201.225","765","","TCP","54","0x001","1","0","1024","","58","40","","","42581  >  765 [FIN] Seq=1 Win=1024 Len=0"
"152","2.624103","10.40.219.42","42581","","10.40.201.225","10566","","TCP","54","0x001","1","0","1024","","44","40","","","42581  >  10566 [FIN] Seq=1 Win=1024 Len=0"
"153","2.624103","10.40.219.42","42581","","10.40.201.225","52869","","TCP","54","0x001","1","0","1024","","53","40","","","42581  >  52869 [FIN] Seq=1 Win=1024 Len=0"
"154","2.624128","10.40.219.42","42581","","10.40.201.225","6123","","TCP","54","0x001","1","0","1024","","54","40","","","42581  >  6123 [FIN] Seq=1 Win=1024 Len=0"
"155","2.624149","10.40.219.42","42581","","10.40.201.225","2099","","TCP","54","0x001","1","0","1024","","50","40","","","42581  >  2099 [FIN] Seq=1 Win=1024 Len=0"
"156","2.624180","10.40.219.42","42581","","10.40.201.225","8873","","TCP","54","0x001","1","0","1024","","52","40","","","42581  >  8873 [FIN] Seq=1 Win=1024 Len=0"
